brand,processor_brand,ram_gb,ssd,hdd,os_bit,Touchscreen,Price
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,70798
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,59990
acer,Intel,8 GB,512 GB,0 GB,64-bit,No,99500
HP,Intel,8 GB,512 GB,0 GB,64-bit,No,55990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,72990
acer,Intel,8 GB,512 GB,0 GB,64-bit,No,64990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,57990
HP,Intel,8 GB,512 GB,0 GB,64-bit,Yes,76990
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,62998
DELL,Intel,8 GB,512 GB,0 GB,64-bit,Yes,77990
HP,Intel,8 GB,512 GB,0 GB,64-bit,Yes,114990
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,65990
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,88990
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,113590
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,Yes,73990
HP,Intel,8 GB,512 GB,0 GB,64-bit,No,61000
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,Yes,99990
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,67990
DELL,Intel,8 GB,512 GB,0 GB,64-bit,Yes,70799
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,65990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,53690
MSI,Intel,8 GB,512 GB,0 GB,64-bit,No,55990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,53190
Lenovo,Intel,8 GB,512 GB,0 GB,32-bit,No,58999
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,71990
HP,Intel,8 GB,512 GB,0 GB,32-bit,No,82000
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,84990
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,89998
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,Yes,99990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,84990
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,69899
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,79990
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,76300
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,55999
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,72900
DELL,Intel,8 GB,512 GB,0 GB,64-bit,Yes,73990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,84990
DELL,Intel,8 GB,512 GB,0 GB,32-bit,No,73519
HP,Intel,8 GB,512 GB,0 GB,64-bit,Yes,126000
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,88990
HP,Intel,8 GB,512 GB,0 GB,64-bit,Yes,114999
DELL,Intel,8 GB,512 GB,0 GB,64-bit,Yes,82990
acer,Intel,8 GB,512 GB,0 GB,64-bit,Yes,109999
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,Yes,82990
DELL,Intel,8 GB,512 GB,0 GB,64-bit,Yes,79990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,Yes,114990
HP,Intel,8 GB,512 GB,0 GB,64-bit,Yes,129999
MSI,Intel,8 GB,512 GB,0 GB,32-bit,No,149990
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,71290
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,79500
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,82990
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,70980
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,Yes,99990
HP,Intel,8 GB,512 GB,0 GB,32-bit,No,94000
DELL,Intel,8 GB,512 GB,0 GB,64-bit,Yes,82990
MSI,Intel,8 GB,512 GB,0 GB,64-bit,No,79990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,85990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,86990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,105990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,84990
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,59999
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,91999
DELL,Intel,8 GB,512 GB,0 GB,64-bit,Yes,78900
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,132790
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,60990
Avita,Intel,8 GB,512 GB,0 GB,64-bit,No,65556
DELL,Intel,16 GB,512 GB,0 GB,64-bit,No,70190
DELL,Intel,8 GB,512 GB,0 GB,64-bit,Yes,79590
Avita,Intel,8 GB,512 GB,0 GB,64-bit,No,65556
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,76990
Avita,Intel,8 GB,512 GB,0 GB,64-bit,No,65556
Avita,Intel,8 GB,512 GB,0 GB,64-bit,No,44990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,Yes,84990
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,Yes,86999
HP,Intel,16 GB,512 GB,0 GB,64-bit,No,78000
Avita,Intel,8 GB,512 GB,0 GB,64-bit,No,73063
Avita,Intel,8 GB,512 GB,0 GB,64-bit,No,73063
HP,Intel,16 GB,512 GB,0 GB,64-bit,No,100990
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,74990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,75990
Lenovo,Intel,8 GB,512 GB,0 GB,32-bit,No,84086
ASUS,Intel,8 GB,1024 GB,0 GB,64-bit,No,75990
ASUS,Intel,8 GB,1024 GB,0 GB,64-bit,No,77990
